DMU,panel_area,wind_mills,storage,demand_met,pct_dem_met,reward_risk,energy_purchased,energy_sold,population,total_prod,area
656,1800,15,2200,0.832380555556,0.932889082237,1.55900986769,209499.743525,3863410.29617,50000,21333.8196159,17800
657,1800,15,2300,0.835791666667,0.933062444618,1.55900932127,203997.277697,3849356.25383,50000,21305.0962459,17800
658,1800,15,2400,0.837663888889,0.926559226313,1.55462480672,202862.651185,3856759.85451,50000,21331.4813636,17800
659,1900,15,800,0.801613888889,0.930716181537,1.58525532161,268648.965881,4006201.72059,50000,21742.9009081,17900
660,1900,15,900,0.804847222222,0.929365370366,1.58224178271,262765.801012,4010101.73153,50000,21762.7613263,17900
661,1900,15,1000,0.807775,0.939602646503,1.58118033673,256104.814227,4003702.06964,50000,21741.8472512,17900
662,1900,15,1100,0.811497222222,0.926277401735,1.5842240666,249337.558645,4010929.98653,50000,21766.9509389,17900
663,1900,15,1200,0.813786111111,0.927222275539,1.58063030553,244832.495105,4007948.4915,50000,21752.7442409,17900
664,1900,15,1300,0.818008333333,0.945503766255,1.58509152036,236008.451005,4007701.4195,50000,21772.0760314,17900
665,1900,15,1400,0.82265,0.942916604557,1.58426347432,229529.572216,4003193.41506,50000,21762.44383,17900
666,1900,15,1500,0.824008333333,0.943711544404,1.5780651063,225931.766856,4008444.67845,50000,21781.7069708,17900
667,1900,15,1600,0.827375,0.934812774824,1.5847314272,220925.240834,3991736.82182,50000,21738.4471902,17900
668,1900,15,1700,0.830597222222,0.929657966402,1.57750058975,216582.116608,4004378.86351,50000,21773.8073365,17900
669,1900,15,1800,0.834061111111,0.944096868234,1.58542225551,210083.290167,3996930.52043,50000,21762.2848575,17900
670,1900,15,1900,0.838269444444,0.933409641103,1.58524166851,204374.151935,3997836.97667,50000,21771.6401873,17900
671,1900,15,2000,0.840138888889,0.935682592334,1.58059103942,199087.952737,3986373.16894,50000,21747.0283769,17900
672,1900,15,2100,0.843227777778,0.943039857216,1.58358489037,195358.735835,3986100.81727,50000,21741.5728152,17900
673,1900,15,2200,0.846258333333,0.941793935231,1.58093423177,189660.989548,3997616.62159,50000,21790.0056426,17900
674,1900,15,2300,0.849022222222,0.936065051558,1.58252801482,185688.365319,3990553.94573,50000,21775.3210275,17900
675,1900,15,2400,0.851086111111,0.938224414946,1.58208424868,182210.455931,3985280.90546,50000,21764.5387622,17900
676,2000,15,400,0.801216666667,0.95025473598,1.60535672224,271844.646408,4135792.92001,50000,22171.8436122,18000
677,2000,15,500,0.806558333333,0.931656337378,1.61514487698,263177.070307,4145995.04769,50000,22203.6126925,18000
678,2000,15,600,0.808925,0.936668527188,1.61236616348,256616.708034,4143673.25239,50000,22203.3844577,18000
679,2000,15,700,0.811836111111,0.940425619762,1.60696011935,250746.626404,4144671.05785,50000,22201.8362727,18000
680,2000,15,800,0.816102777778,0.945466330403,1.6084943745,245235.196577,4137727.79188,50000,22192.0079365,18000
681,2000,15,900,0.819019444444,0.929409824399,1.61124794835,238632.844317,4135844.05027,50000,22185.2339966,18000
682,2000,15,1000,0.823452777778,0.935381440723,1.61405803879,231550.030032,4138051.87032,50000,22190.5793874,18000
683,2000,15,1100,0.825213888889,0.948032755607,1.61092253998,227412.698483,4132469.17032,50000,22180.2718717,18000
684,2000,15,1200,0.828891666667,0.942518178293,1.61024601857,221673.809109,4147062.05669,50000,22222.5495118,18000
685,2000,15,1300,0.831994444444,0.938911360218,1.61289008319,217082.458317,4132968.38024,50000,22200.5799154,18000
686,2000,15,1400,0.836183333333,0.937776149748,1.61144720109,210053.12955,4125686.65161,50000,22174.9292156,18000
687,2000,15,1500,0.837797222222,0.940462121931,1.611652064,206703.334683,4124375.69085,50000,22172.0779586,18000
688,2000,15,1600,0.841594444444,0.957091494367,1.60953446295,200644.508982,4129601.54986,50000,22195.6907074,18000
689,2000,15,1700,0.845105555556,0.938819291381,1.61472352677,193381.516815,4133731.81719,50000,22209.2096942,18000
690,2000,15,1800,0.848022222222,0.930915178799,1.60870838759,189186.645739,4136050.58077,50000,22227.1894425,18000
691,2000,15,1900,0.850408333333,0.952491204729,1.60966817569,185005.811029,4122267.72824,50000,22187.7465259,18000
692,2000,15,2000,0.853127777778,0.9425898793,1.61434817463,180321.417771,4117545.91914,50000,22182.2459859,18000
693,2000,15,2100,0.855788888889,0.941664604226,1.60723265592,176664.704935,4123043.85834,50000,22197.8342457,18000
694,2000,15,2200,0.858016666667,0.933034378731,1.61098711743,173273.833603,4101090.46092,50000,22152.4967109,18000
695,2000,15,2300,0.861447222222,0.929632542775,1.60938520476,167721.269665,4118183.90142,50000,22205.9265784,18000
696,2000,15,2400,0.863638888889,0.940126908324,1.61004061501,162816.562117,4121350.5134,50000,22218.0608891,18000
697,2100,15,100,0.807266666667,0.946377781963,1.64278120946,266588.866397,4273984.87066,50000,22625.2799901,18100
698,2100,15,200,0.809430555556,0.950563640597,1.63879598391,261234.6101,4276282.64106,50000,22632.0479074,18100
699,2100,15,300,0.812102777778,0.940725814548,1.64343222705,255959.846988,4256925.90819,50000,22567.068397,18100
