DMU,V1
2114,1849
2115,1891
2116,1938
2117,1986
2118,2032
2119,69.5
2120,823
2121,907
2122,991
2123,1104
2124,1187
2125,1259
2126,1364
2127,1434
2128,1502
2129,1570
2130,1628
2131,1691
2132,1758
2133,1816
2134,1879
2135,1922
2136,1974
2137,2029
2138,2067
2139,2108
2140,2161
2141,2205
2142,2242
2143,69.5
2144,1207
2145,1301
2146,1404
2147,1446
2148,1547
2149,1591
2150,1654
2151,1727
2152,1777
2153,1841
2154,1889
2155,1932
2156,2007
2157,2051
2158,2103
2159,2159
2160,2173
2161,2224
2162,2268
2163,2305
2164,2356
2165,2383
2166,2419
2167,69.5
2168,1513
2169,1614
2170,1678
2171,1764
2172,1797
2173,1860
2174,1909
2175,1979
2176,2011
2177,2080
2178,2140
2179,2163
2180,2202
2181,2251
2182,2288
2183,2325
2184,2369
2185,2407
2186,2435
2187,2468
2188,2498
2189,2526
2190,2559
2191,69.5
2192,1813
2193,1883
2194,1936
2195,2009
2196,2037
2197,2087
2198,2144
2199,2188
2200,2238
2201,2274
2202,2320
2203,2352
2204,2391
2205,2430
2206,2463
2207,2485
2208,2510
2209,2546
2210,2573
2211,2596
2212,2625
2213,2642
2214,2663
2215,144
2216,2068
2217,2113
2218,2178
2219,2209
2220,2253
2221,2291
2222,2336
2223,2382
2224,2408
2225,2442
2226,2474
2227,2501
2228,2529
2229,2564
2230,2589
2231,2616
2232,2635
2233,2651
2234,2677
2235,2695
2236,2711
2237,2726
2238,2740
2239,146
2240,2270
2241,2316
2242,2351
2243,2384
2244,2426
2245,2459
2246,2499
2247,2530
2248,2551
2249,2577
2250,2599
2251,2627
2252,2650
2253,2668
2254,2690
2255,2707
2256,2725
2257,2737
2258,2751
2259,2760
2260,2773
2261,2784
2262,2791
2263,69.5
2264,2445
2265,2476
2266,2505
2267,2536
2268,2569
2269,2592
2270,2614
2271,2638
2272,2661
2273,2682
2274,2700
2275,2720
2276,2732
2277,2744
2278,2759
2279,2770
2280,2780
2281,2788
2282,2796
2283,2802
2284,2808
2285,2813
2286,2817
2287,69.5
2288,69.5
2289,244
2290,353
2291,427
2292,338
2293,628
2294,69.5
2295,293
2296,399
2297,525
2298,616
2299,681
2300,775
2301,856
2302,1001
2303,1038
2304,142
2305,225
2306,271
2307,496
2308,541
2309,601
2310,777
2311,854
2312,952
2313,1020
2314,1087
2315,1191
2316,1257
2317,1319
2318,1385
2319,69.5
2320,221
2321,391
2322,580
2323,623
2324,701
2325,847
2326,944
2327,1007
2328,1096
2329,1151
2330,1224
2331,1336
2332,1390
2333,1432
2334,1515
2335,1575
2336,1644
2337,1709
2338,69.5
2339,243
2340,361
2341,515
2342,619
2343,717
2344,815
2345,933
2346,1029
2347,1118
2348,1188
2349,1289
2350,1356
2351,1428
2352,1492
2353,1554
2354,1613
2355,1657
2356,1715
2357,1789
2358,1842
2359,1916
2360,1945
2361,69.5
2362,610
2363,732
2364,831
2365,966
2366,1028
2367,1137
2368,1247
2369,1308
2370,1391
2371,1483
2372,1521
2373,1602
2374,1675
2375,1711
2376,1779
2377,1820
2378,1893
2379,1955
2380,1976
2381,2046
2382,2081
2383,2128
2384,2177
2385,154
2386,1015
2387,1130
2388,1228
2389,1303
2390,1396
2391,1467
2392,1548
2393,1634
2394,1707
2395,1766
2396,1822
2397,1866
2398,1918
2399,1983
2400,2020
2401,2077
2402,2114
2403,2158
2404,2196
2405,2250
2406,2284
2407,2331
2408,2365
2409,69.5
2410,1407
2411,1505
2412,1565
2413,1642
2414,1726
2415,1775
2416,1862
2417,1902
2418,1952
2419,1991
2420,2059
2421,2089
2422,2148
2423,2190
2424,2234
2425,2292
2426,2318
2427,2350
2428,2375
2429,2421
2430,2454
2431,2487
2432,2515
2433,151
2434,1729
2435,1786
2436,1847
2437,1913
2438,1973
2439,2025
2440,2076
2441,2121
2442,2179
2443,2218
2444,2255
2445,2301
2446,2339
2447,2377
2448,2405
2449,2434
2450,2473
2451,2500
2452,2534
2453,2558
2454,2585
2455,2617
2456,2631
2457,69.5
2458,1985
2459,2054
2460,2095
2461,2130
2462,2184
2463,2233
2464,2273
2465,2323
2466,2359
2467,2388
2468,2422
2469,2466
2470,2492
2471,2517
2472,2547
2473,2581
2474,2605
2475,2629
2476,2647
2477,2664
2478,2689
2479,2705
2480,2723
2481,69.5
2482,2189
2483,2245
2484,2283
2485,2324
2486,2366
2487,2409
2488,2443
2489,2484
2490,2516
2491,2544
2492,2571
2493,2583
2494,2623
2495,2637
2496,2666
2497,2684
2498,2698
2499,2712
2500,2728
2501,2745
2502,2756
2503,2768
2504,2776
2505,69.5
2506,2380
2507,2427
2508,2458
2509,2490
2510,2527
2511,2556
2512,2582
2513,2611
2514,2624
2515,2655
2516,2675
2517,2693
2518,2715
2519,2727
2520,2738
2521,2753
2522,2765
2523,2775
2524,2782
2525,2792
2526,2799
2527,2806
2528,2811
2529,69.5
2530,2531
2531,2575
2532,2595
2533,2626
2534,2643
2535,2667
2536,2692
2537,2703
2538,2721
2539,2731
2540,2746
2541,2761
2542,2771
2543,2779
2544,2789
2545,2797
2546,2804
2547,2810
2548,2814
2549,2818
2550,2822
2551,2825
2552,2826
2553,69.5
2554,69.5
2555,69.5
2556,69.5
2557,69.5
2558,358
2559,335
2560,595
2561,675
2562,749
2563,832
2564,69.5
2565,226
2566,313
2567,453
2568,543
2569,687
2570,721
2571,863
2572,928
2573,1027
2574,1094
2575,1174
2576,1275
2577,69.5
2578,69.5
2579,388
2580,512
2581,661
2582,751
2583,822
2584,893
2585,1013
2586,1078
2587,1166
2588,1233
2589,1294
2590,1353
2591,1443
2592,1530
2593,1588
2594,69.5
2595,261
2596,373
2597,534
2598,644
2599,758
2600,882
2601,948
2602,1069
2603,1155
2604,1226
2605,1297
2606,1370
2607,1437
2608,1511
2609,1566
2610,1639
2611,1695
