DMU,(O)Demand,(O)PctDemand s,(O)Risk
1611,0.823653,0.955382306450578,1.44444282458289
1612,0.826,0.957096275976574,1.4490191665296
1613,0.829894,0.960609778058426,1.45630615129279
1614,0.831719,0.961619104078169,1.4603791097625
1615,0.834586,0.963712267107141,1.46674307590806
1616,0.837969,0.966409239230523,1.47400520506509
1617,0.840953,0.967297573573077,1.47712624817035
1618,0.843225,0.967112170075403,1.47831948405653
1619,0.846767,0.968402427820221,1.48175831350545
1620,0.848944,0.968247466463056,1.48356630333114
1621,0.852606,0.971156448504939,1.49263971055922
1622,0.854011,0.97272170979856,1.49952319951205
1623,0.856536,0.975562926566864,1.50833905436705
1624,0.859231,0.978597981397332,1.5174272597692
1625,0.804311,0.950858266345758,1.42738260415923
1626,0.808831,0.952802,1.4406294819802
1627,0.812156,0.949071,1.44472929016497
1628,0.815189,0.95357,1.45005992454037
1629,0.818542,0.953978614500171,1.45575766254764
