DMU,u1,u2,u3
1862,0.000298777395398263,0.0170624732638141,6.08029496740253e-05
1863,0.000296971719745235,0.0169593553806428,6.04354841041742e-05
1864,0.000295187738358305,0.0168574764059062,6.00724334445206e-05
1865,0.000182063414034664,0.00991827454835935,0.00464002089222059
1866,0.000335378466691897,0.0178116145916708,0.00011137426764749
1867,0.000334542079671886,0.0177609508541453,8.28142955118434e-05
1868,0.000331794348152183,0.0176150728691406,8.21341076852982e-05
1869,0.000326450987756457,0.0177641256247931,7.86831678354464e-05
1870,0.000316997285759398,0.0183159565696276,7.46163294515066e-05
1871,0.000314649486782646,0.0181803018305361,7.40636933571136e-05
1872,0.00031233620945848,0.0180466417365658,7.35191831335666e-05
1873,0.000310056697942696,0.0179149326153882,7.29826208666603e-05
1874,0.000309450662945136,0.0177530178038454,7.01754328180029e-05
1875,0.00030729421250861,0.0176293034041786,6.96864054515933e-05
1876,0.000305167609134525,0.0175073013144027,6.92041466294978e-05
1877,0.000303070237419583,0.017386976229162,6.8728516794113e-05
1878,0.000299455628708508,0.0174560081443584,6.7431212352256e-05
1879,0.000297449888051969,0.0173390885680359,6.69795610518015e-05
1880,0.000295470837353018,0.0172237248152556,6.65339197776253e-05
1881,0.000293517947396481,0.0171098860367582,6.60941693614192e-05
1882,0.000291626320658896,0.0170033663454796,6.55566275327314e-05
1883,0.000289726968363775,0.0168926239995209,6.51296594501407e-05
1884,0.000287852196808762,0.0167833148415136,6.47082170362213e-05
1885,0.000285416941579014,0.0168340580538773,6.32068028696914e-05
1886,0.000290109577018107,0.0165674745736693,5.9038997872887e-05
1887,0.000288406851866718,0.0164702359511408,5.86924833330217e-05
1888,0.000286723997522144,0.0163741321035826,5.83500126187109e-05
1889,0.000149992600691885,0.00758663621399999,0.00555694698191419
1890,0.00032449558356545,0.0172336355645541,0.000107760221850045
1891,0.000323712533262536,0.0171860066147306,8.01334929727943e-05
